Title,Authors,PMID,Journal,Date
Perianal Abscesses and Fistulas in Infants and Children.,"Gosemann JH, Lacher M.",32987435,Eur J Pediatr Surg,2020 Oct
"Oral versus intravenous empirical antibiotics in children and adolescents with uncomplicated bone and joint infections: a nationwide, randomised, controlled, non-inferiority trial in Denmark.","Nielsen AB, Holm M, Lindhard MS, Glenthøj JP, Borch L, Hartling U, Schmidt LS, Rytter MJH, Rasmussen AH, Damkjær M, Lemvik G, Petersen JJH, Søndergaard MJ, Thaarup J, Kristensen K, Jensen LH, Hansen LH, Lawaetz MC, Gottliebsen M, Horsager TH, Zaharov T, Hoffmann TU, Nygaard T, Justesen US, Stensballe LG, Vissing NH, Blanche P, Schmiegelow K, Nygaard U.",39025092,LancetChild Adolesc Health,2024 Sep
PECARN prediction rule for cervical spine imaging of children presenting to the emergency department with blunt trauma: a multicentre prospective observational study.,"Leonard JC, Harding M, Cook LJ, Leonard JR, Adelgais KM, Ahmad FA, Browne LR, Burger RK, Chaudhari PP, Corwin DJ, Glomb NW, Lee LK, Owusu-Ansah S, Riney LC, Rogers AJ, Rubalcava DM, Sapien RE, Szadkowski MA, Tzimenatos L, Ward CE, Yen K, Kuppermann N.",38843852,LancetChild Adolesc Health,2024 Jul
"Metabolic and bariatric surgery versus intensive non- surgical treatment for adolescents with severe obesity (AMOS2): a multicentre, randomised, controlled trial in Sweden.","Järvholm K, Janson A, Peltonen M, Neovius M, Gronowitz E, Engström M, Laurenius A, Beamish AJ, Dahlgren J, Sjögren L, Olbers T.",36848922,LancetChild Adolesc Health,2023 Apr
Surgical Management of Pediatric Inguinal Hernia: A Systematic Review and Guideline from the European Pediatric Surgeons' Association Evidence and Guideline Committee.,"Morini F, Dreuning KMA, Janssen Lok MJH, Wester T, Derikx JPM, Friedmacher F, Miyake H, Zhu H, Pio L, Lacher M, Sgró S, Zani A, Eaton S, van Heurn LWE, Pierro A.",33567466,Eur J Pediatr Surg,2022 Jun
European Paediatric Surgeons' Association Consensus Statement on the Management of Neonatal Ovarian Simple Cysts.,"Saxena AK, Mutanen A, Gorter R, Conforti A, Bagolan P, De Coppi P, Soyer T; European Paediatric Surgeons' Association.",37557903,Eur J Pediatr Surg,2024 Jun
Publishing trends in World Journal of Pediatric Surgery.,"Qi Q, Dorazio R, Yang L, Xie Y, Shu Q.",36474730,World J Pediatr Surg,2022 Sep
"Incidence and outcomes of neonatal acute kidney injury (AWAKEN): a multicentre, multinational, observational cohort study.","Jetton JG, Boohaker LJ, Sethi SK, Wazir S, Rohatgi S, Soranno DE, Chishti AS, Woroniecki R, Mammen C, Swanson JR, Sridhar S, Wong CS, Kupferman JC, Griffin RL, Askenazi DJ; Neonatal Kidney Collaborative (NKC).",29732396,LancetChild Adolesc Health,2017 Nov
A strident girl.,"Corrias F, Gesuete V, Murru FM, Maschio M, Barbi E.",31653663,Arch Dis Child Educ Pract Ed,2021 Aug
Minimally Invasive Pediatric Surgery : The Learning Curve.,"Uecker M, Kuebler JF, Ure BM, Schukfeh N.",32146718,Eur J Pediatr Surg,2020 Apr
Laparoscopic versus Open Pediatric Surgery : Three Decades of Comparative Studies.,"Kiblawi R, Zoeller C, Zanini A, Kuebler JF, Dingemann C, Ure B, Schukfeh N.",34933374,Eur J Pediatr Surg,2022 Feb
Japanese biliary atresia registry.,"Okubo R, Nio M, Sasaki H, Wada M.",40433107,World J Pediatr Surg,2025 May
Application and prospects of robotic surgery in children : a scoping review.,"Shen LT, Tou J.",36474741,World J Pediatr Surg,2022 Oct
Laparoscopic approach of pediatric adrenal tumors.,"Oesterreich R, Varela MF, Moldes J, Lobos P.",35876904,Pediatr Surg Int,2022 Oct
The Potential and the Limitations of Esophageal Robotic Surgery in Children.,"Ferrero PA, Blanc T, Binet A, Arnaud A, Abbo O, Vatta F, Bonnard A, Spampinato G, Lardy H, Fourcade L, Ballouhey Q.",33378777,Eur J Pediatr Surg,2022 Apr
Epilepsy surgery for children and adolescents : evidence-based but underused.,"Cross JH, Reilly C, Gutierrez Delicado E, Smith ML, Malmgren K.",35568054,LancetChild Adolesc Health,2022 Jul
Goldenhar syndrome: current perspectives.,"Bogusiak K, Puch A, Arkuszewski P.",28623555,World J Pediatr,2017 Oct
"Robotic surgery in children : adopt now, await, or dismiss?","Cundy TP, Marcus HJ, Hughes-Hallett A, Khurana S, Darzi A.",26416688,Pediatr Surg Int,2015 Dec
Comprehensive meta-analysis of surgical procedure for congenital diaphragmatic hernia: thoracoscopic versus open repair.,"Shibuya S, Paraboschi I, Giuliani S, Tsukui T, Matei A, Olivos M, Inoue M, Clarke SA, Yamataka A, Zani A, Eaton S, De Coppi P.",38980431,Pediatr Surg Int,2024 Jul
Video-Assisted Thoracoscopic or Conventional Thoracic Surgery in Infants and Children : Current Evidence.,"Kiblawi R, Zoeller C, Zanini A, Ure BM, Dingemann J, Kuebler JF, Schukfeh N.",33027837,Eur J Pediatr Surg,2021 Feb
Laparoscopic robotic-assisted restorative proctocolectomy and ileal J-pouch-anorectal anastomosis in children.,"Romeo C, Di Fabrizio D, Impellizzeri P, Arena S, Dipasquale V, Palo F, Costa S, Pellegrino S, Antonuccio P, Romano C, Mattioli G.",34586484,Pediatr Surg Int,2022 Jan
Peri-operative management of overweight and obese children and adolescents.,"Lejus C, Orliaguet G, Servin F, Dadure C, Michel F, Brasher C, Dahmani S.",30169186,LancetChild Adolesc Health,2017 Dec
Thirty Years of Minimally Invasive Surgery in Children : Analysis of Meta-Analyses.,"Schukfeh N, Kuebler JF, Dingemann J, Ure BM.",31013537,Eur J Pediatr Surg,2020 Oct
Hirschsprung disease: common and uncommon variants.,"Cheng LS, Wood RJ.",39224573,World J Pediatr Surg,2024 Aug
Fifteen-minute consultation: Rectal bleeding in children.,"Metezai H, Wahid A, Jones C, Evans J.",36564158,Arch Dis Child Educ Pract Ed,2023 Oct
The role of minimally invasive surgery in pediatric solid tumors.,Fuchs J.,25588746,Pediatr Surg Int,2015 Mar
What is MR spectroscopy?,"Manias KA, Peet A.",28844055,Arch Dis Child Educ Pract Ed,2018 Aug
Surgical Management of Rectal Prolapse in Infants and Children.,"Saadai P, Trappey AF, Langer JL.",32920799,Eur J Pediatr Surg,2020 Oct
Laparoscopic versus Open Incarcerated Inguinal Hernia Repair in Children : A Systematic Review and Meta-Analysis.,"Zubaidi SA, Ezrien DE, Chen Y, Nah SA.",36220132,Eur J Pediatr Surg,2023 Oct
Surgical management in hepatoblastoma: points to take.,"Murawski M, Weeda VB, Czauderna P.",36631526,Pediatr Surg Int,2023 Jan
"Surgical management in pediatric neuroblastoma diagnosis and treatment: a 20-year, single-center experience.","Spencer B, Patel A, Cilley R, Grant CN.",34854024,World J Pediatr,2022 Feb
Comparison of laparoscopic and open ileocecal resection for Crohn's disease in children.,"Dotlacil V, Lerchova T, Coufal S, Kucerova B, Schwarz J, Hradsky O, Skaba R, Rygl M.",36847848,Pediatr Surg Int,2023 Feb
Robot-Assisted Laparoscopic Fundoplications in Pediatric Surgery : Experience Review.,"Binet A, Fourcade L, Amar S, Alzahrani K, Cook AR, Braïk K, Cros J, Longis B, Villemagne T, Lardy H, Ballouhey Q.",29258148,Eur J Pediatr Surg,2019 Apr
Enteric duplication in children.,"Sujka JA, Sobrino J, Benedict LA, Alemayehu H, Peter SS, Hendrickson R.",30315502,Pediatr Surg Int,2018 Dec
Causes and consequences: development and pathophysiology of Hirschsprung disease.,"Burns AJ, Goldstein AM.",39600627,World J Pediatr Surg,2024 Nov
Laparoscopic diverticulectomy or laparoscopic -assisted resection of symptomatic Meckel diverticulum in children ? A systematic review.,"Redman EP, Mishra PR, Stringer MD.",32436063,Pediatr Surg Int,2020 Aug
Laparoscopic versus open pyloromyotomy in infants : a systematic review and meta-analysis.,"Sathya C, Wayne C, Gotsch A, Vincent J, Sullivan KJ, Nasr A.",27942806,Pediatr Surg Int,2017 Mar
Thoracoscopic thymectomy for juvenile myasthenia gravis.,"Kim AG, Upah SA, Brandsema JF, Yum SW, Blinman TA.",30729982,Pediatr Surg Int,2019 May
Comparing open and thoracoscopy approach for the treatment of pulmonary sequestration in children.,"Wang D, Mou Y, Wang J.",36227374,Pediatr Surg Int,2022 Dec
Minimally Invasive versus Open Ureteral Reimplantation in Children : A Systematic Review and Meta-Analysis.,"Feng S, Yu Z, Yang Y, Bi Y, Luo J.",36882103,Eur J Pediatr Surg,2024 Jun
Barrett's esophagus in children : what is the evidence?,"Raicevic M, Saxena AK.",29992379,World J Pediatr,2018 Aug
Feasibility and safety of laparoscopic tumor resection in children with abdominal neuroblastomas.,"Zenitani M, Yoshida M, Matsumoto S, Sakai T, Matsuura R, Umeda S, Usui N.",36695959,Pediatr Surg Int,2023 Jan
Laparoscopy or laparotomy for adhesive bowel obstruction in children : a systematic review and meta-analysis.,"Miyake H, Seo S, Pierro A.",29018940,Pediatr Surg Int,2018 Feb
Comparison of robotic assistance and laparoscopy for pediatric choledochal cyst: advantages of robotic assistance.,"Yamada S, Koga H, Seo S, Ochi T, Shibuya S, Yazaki Y, Takeda M, Fujiwara N, Lane GJ, Yamataka A.",37989795,Pediatr Surg Int,2023 Nov
Laparoscopic versus Open Reduction of Intussusception in Infants and Children : A Systematic Review and Meta-analysis.,"Wu P, Huang P, Fu Y, Lv Y, Feng S, Lou Y.",35688449,Eur J Pediatr Surg,2022 Dec
Diagnosis and management of congenital type D esophageal atresia.,"Feng C, Li L, Zhang Y, Zhao Y, Huang J.",37815659,Pediatr Surg Int,2023 Oct
Surgical site infection after open and laparoscopic surgery in children : a systematic review and meta-analysis.,"Alganabi M, Biouss G, Pierro A.",33934183,Pediatr Surg Int,2021 Aug
Laparoscopic extraperitoneal technique versus open inguinal herniotomy in children : historical controlled intervention study.,"Suttiwongsing A, Khorana J, Ruangwongroj P, Niruttiwat K.",36474745,World J Pediatr Surg,2022 Jul
Thoracoscopic Repair of Congenital Diaphragmatic Hernia.,"Wagner R, Mayer S, Feng X, Gosemann JH, Zimmermann P, Lacher M.",32146719,Eur J Pediatr Surg,2020 Apr
Surgical pathology of Hirschsprung disease (HSCR).,"Monforte HL, Wilsey M, Gonzalez R.",40756452,World J Pediatr Surg,2025 Jul
Analysis of Pulmonary Surgery in Children and Adolescents in Germany: Who Is doing What?,"Böckle CE, Blaser J, Schukfeh N, Zeidler J, Ure BM, Dingemann J.",34148226,Eur J Pediatr Surg,2022 Aug
A comprehensive review of genetic causes of obesity.,"Concepción-Zavaleta MJ, Quiroz-Aldave JE, Durand-Vásquez MDC, Gamarra-Osorio ER, Valencia de la Cruz JDC, Barrueto-Callirgos CM, Puelles-León SL, Alvarado-León EJ, Leiva-Cabrera F, Zavaleta-Gutiérrez FE, Concepción-Urteaga LA, Paz-Ibarra J.",37725322,World J Pediatr,2024 Jan
Enhanced recovery in children : how could we go further?,"Salaün JP, Ecoffey C, Orliaguet G.",36474774,World J Pediatr Surg,2021 Apr
Perioperative Complications of Video-Assisted Thoracoscopic Pulmonary Procedures in Neonates and Infants.,"Zoeller C, Ure BM, Dingemann J.",29510429,Eur J Pediatr Surg,2018 Apr
Long-term outcomes and quality of life in patients with Hirschsprung disease.,"Pakarinen MP, Mutanen A.",39410940,World J Pediatr Surg,2024 Oct
Digestive perianastomotic ulcerations after intestinal resection in children.,"Zhang W, Tou J.",37564926,World J Pediatr Surg,2023 Jun
Surgical Treatment for Asymptomatic Congenital Pulmonary Airway Malformations in Children : Waiting or Not?,"Zeng J, Liang J, Li L, Liu W, Tang J, Yin X, Yin G.",33641135,Eur J Pediatr Surg,2021 Dec
Role of Minimally Invasive Surgery in Management of Penetrating Abdominal Trauma in Children.,"Mahmoud MA, Daboos MA, Bayoumi ASS, Helal AA, Almaawi A, Hassab MH, Aldaraan KZ.",33757135,Eur J Pediatr Surg,2021 Aug
Surgical decision making around paediatric preoperative anaemia in low-income and middle-income countries.,"Charuvila S, Davidson SE, Thachil J, Lakhoo K.",31447408,LancetChild Adolesc Health,2019 Nov
Laparoscopic Fundoplication for the Surgical Management of Gastroesophageal Reflux Disease in Children.,"Dekonenko C, Holcomb GW 3rd.",32131132,Eur J Pediatr Surg,2020 Apr
Long-term kidney outcomes in children and adolescents with hypertension: a propensity-matched cohort study.,"Hussain J, Georgieva K, Robinson CH, Jeyakumar N, Smith G, Brady T, Dart A, Dionne J, Karam S, McKay AM, Parekh R, Shroff R, Sinha MD, South AM, Vincent C, Sood MM, Chanchlani R.",40578375,LancetChild Adolesc Health,2025 Aug
